sample_id,spp,mountain,site,treatment,block,experiment,treat,none,non_prop,arbuscules,arb_prop,vesicles,ves_prop,coils,coil_prop,hyphae,hyphae_prop,endo,endo_prop,total
FCH_B52,ACSA,FC,H,B52,,green,FC,221,0.8947,1,0.004,5,0.0202,0,0,18,0.0729,2,0.0081,247
FCH_C12_1,ACSA,FC,H,C12_1,,green,FC,161,0.8474,2,0.0105,5,0.0263,0,0,17,0.0595,5,0.0263,190
FCH_C11,ACSA,FC,H,C11,,green,FC,180,0.8911,1,0.005,2,0.0099,1,0.005,12,0.0594,6,0.0297,202
FCH_B12,ACSA,FC,H,B12,,green,FC,245,0.8688,2,0.0071,6,0.0213,1,0.0035,20,0.0709,8,0.0284,282
FCH_A11,ACSA,FC,H,A11,,green,FC,209,0.8856,1,0.0042,3,0.0127,0,0,19,0.0605,5,0.0212,236
FCH_C21,ACSA,FC,H,C21,,green,FC,152,0.8085,8,0.0426,5,0.0266,4,0.0213,17,0.0604,2,0.0106,188
FCH_C12_2,ACSA,FC,H,C12_2,,green,FC,203,0.8565,0,0,3,0.0127,0,0,20,0.0844,11,0.0464,237
FCH_A51,ACSA,FC,H,A51,,green,FC,155,0.8031,1,0.0052,4,0.0207,0,0,17,0.0681,16,0.0829,193
FCH_C32,ACSA,FC,H,C32,,green,FC,182,0.8053,3,0.0133,5,0.0221,3,0.0133,24,0.0562,9,0.0398,226
FCM_A31,ACSA,FC,M,A31,,green,FC,201,0.8105,5,0.0202,6,0.0242,1,0.004,28,0.1129,7,0.0282,248
FCM_C21,ACSA,FC,M,C21,,green,FC,179,0.7991,4,0.0179,5,0.0223,2,0.0089,26,0.1161,8,0.0357,224
FCM_A51,ACSA,FC,M,A51,,green,FC,148,0.7629,6,0.0309,9,0.0464,3,0.0155,21,0.1082,7,0.0361,194
FCM_C11,ACSA,FC,M,C11,,green,FC,166,0.8177,2,0.0099,5,0.0246,2,0.0099,18,0.0887,10,0.0493,203
FCM_A32,ACSA,FC,M,A32,,green,FC,113,0.7902,2,0.014,4,0.028,1,0.007,16,0.1119,7,0.049,143
FCM_A41,ACSA,FC,M,A41,,green,FC,155,0.7711,4,0.0199,8,0.0398,0,0,23,0.1144,11,0.0547,201
FCM_B51,ACSA,FC,M,B51,,green,FC,198,0.8534,1,0.0043,2,0.0086,0,0,19,0.0819,12,0.0517,232
FCM_C21,ACSA,FC,M,C21,,green,FC,176,0.8462,3,0.0144,5,0.024,0,0,18,0.0865,6,0.0288,208
FCM_B21,ACSA,FC,M,B21,,green,FC,176,0.7586,3,0.0129,8,0.0345,2,0.0086,29,0.125,14,0.0603,232
FCL_A41,ACSA,FC,L,A41,,green,FC,156,0.9571,4,0.0245,5,0.0307,3,0.0184,23,0.1411,10,0.0613,163
FCL_B31,ACSA,FC,L,B31,,green,FC,179,0.7276,7,0.0285,7,0.0285,5,0.0203,38,0.1545,10,0.0407,246
FCL_B42,ACSA,FC,L,B42,,green,FC,177,0.7662,2,0.0087,7,0.0303,2,0.0087,27,0.1169,16,0.0693,231
FCL_B22,ACSA,FC,L,B22,,green,FC,202,0.7681,8,0.0304,8,0.0304,5,0.019,31,0.1179,9,0.0342,263
FCL_A31,ACSA,FC,L,A31,,green,FC,174,0.7373,6,0.0254,10,0.0424,4,0.0169,29,0.1229,13,0.0551,236
FCL_A42,ACSA,FC,L,A42,,green,FC,153,0.75,4,0.0196,7,0.0343,3,0.0147,29,0.1422,8,0.0392,204
FCL_A11,ACSA,FC,L,A11,,green,FC,155,0.7561,3,0.0146,5,0.0244,2,0.0098,28,0.1366,12,0.0585,205
FCL_C41,ACSA,FC,L,C41,,green,FC,186,0.7623,4,0.0164,8,0.0328,1,0.0041,34,0.1393,11,0.0451,244
FCL_C32,ACSA,FC,L,C32,,green,FC,188,0.752,3,0.012,7,0.028,3,0.012,37,0.148,12,0.048,250
PCH_4,ACSA,PC,H,4,,green,PC,126,0.6528,0,0,0,0,0,0,0,0,67,0.3472,193
PCM_9,ACSA,PC,M,9,,green,PC,158,0.8449,0,0,2,0.0107,0,0,0,0,27,0.1444,187
PCM_B21,ACSA,PC,M,B21,,green,PC,203,0.9398,0,0,1,0.0046,0,0,1,0.0046,11,0.0509,216
PCM_A41,ACSA,PC,M,A41,,green,PC,151,0.9742,0,0,0,0,0,0,0,0,4,0.0258,155
PCM_10,ACSA,PC,M,10,,green,PC,201,0.7336,0,0,1,0.0036,0,0,4,0.0146,68,0.2482,274
PCL_BIG2,ACSA,PC,L,BIG2,,green,PC,197,0.8795,0,0,0,0,0,0,1,0.0045,26,0.1161,224
PCL_BIG1,ACSA,PC,L,BIG1,,green,PC,227,0.8566,0,0,0,0,0,0,0,0,38,0.1434,265
PCM_BIG4,ACSA,PC,M,BIG4,,green,PC,154,0.7299,0,0,0,0,0,0,0,0,57,0.2701,211
PCH_BIG3,ACSA,PC,H,BIG3,,green,PC,214,0.8664,0,0,0,0,0,0,1,0.004,32,0.1296,247
PCH_BIG4,ACSA,PC,H,BIG4,,green,PC,200,0.8197,0,0,1,0.0041,0,0,1,0.0041,42,0.1721,244
PCH_BIG2,ACSA,PC,H,BIG2,,green,PC,212,0.9258,0,0,0,0,0,0,0,0,17,0.0742,229
PCH_10,ACSA,PC,H,10,,green,PC,184,0.9154,1,0.005,3,0.0149,0,0,9,0.0448,4,0.0199,201
FAH_C52,ACSA,FA,H,C52,,green,FA,167,0.994,0,0,0,0,0,0,0,0,1,0.006,168
FAH_A31,ACSA,FA,H,A31,,green,FA,240,0.9877,0,0,0,0,0,0,1,0.0041,2,0.0082,243
FAH_A41,ACSA,FA,H,A41,,green,FA,191,0.9695,0,0,0,0,0,0,4,0.0203,2,0.0102,197
FAH_C32,ACSA,FA,H,C32,,green,FA,258,0.981,0,0,0,0,0,0,2,0.0076,3,0.0114,263
FAM_A31,ACSA,FA,M,A31,,green,FA,171,0.9771,0,0,1,0.0057,0,0,1,0.0057,2,0.0114,175
FAM_C42,ACSA,FA,M,C42,,green,FA,154,0.9747,0,0,0,0,0,0,2,0.0127,2,0.0127,158
FAM_A32,ACSA,FA,M,A32,,green,FA,157,0.9874,0,0,1,0.0063,0,0,1,0.0063,0,0,159
FAM_B31,ACSA,FA,M,B31,,green,FA,246,1,0,0,0,0,0,0,0,0,0,0,246
FAM_B21,ACSA,FA,M,B21,,green,FA,263,0.985,0,0,0,0,0,0,2,0.0075,2,0.0075,267
FAM_A32,ACSA,FA,L,A32,,green,FA,157,0.9874,0,0,1,0.0063,0,0,1,0.0063,0,0,159
FAM_B31,ACSA,FA,L,B31,,green,FA,246,1,0,0,0,0,0,0,0,0,0,0,246
FAM_B21,ACSA,FA,L,B21,,green,FA,263,0.985,0,0,0,0,0,0,2,0.0075,2,0.0075,267
BH_BIG2,ACSA,B,H,BIG2,,green,B,237,0.8464,2,0.0071,3,0.0107,0,0,13,0.0464,25,0.0893,280
BH_BIG3,ACSA,B,H,BIG3,,green,B,201,0.8739,1,0.0043,3,0.013,0,0,10,0.0435,15,0.0652,230
BH_C21,ACSA,B,H,C21,,green,B,252,0.8571,5,0.017,7,0.0238,3,0.0102,23,0.0782,4,0.0136,294
BH_14,ACSA,B,H,14,,green,B,159,0.8503,0,0,3,0.016,0,0,14,0.0149,11,0.0588,187
BH_B32,ACSA,B,H,B32,,green,B,209,0.8462,2,0.0081,5,0.0202,0,0,25,0.0512,6,0.0243,247
BH_C51,ACSA,B,H,C51,,green,B,192,0.8533,1,0.0044,4,0.0178,0,0,18,0.08,10,0.0444,225
BH_B42,ACSA,B,H,B42,,green,B,273,0.7583,15,0.0417,14,0.0389,9,0.025,48,0.0933,1,0.0028,360
BM_BIG3,ACSA,B,M,BIG3,,green,B,179,0.8249,0,0,4,0.0184,0,0,16,0.0737,18,0.0829,217
BM_BIG2,ACSA,B,M,BIG2,,green,B,205,0.8471,0,0,3,0.0124,0,0,16,0.0661,18,0.0744,242
BM_BIG1,ACSA,B,M,BIG1,,green,B,202,0.8417,1,0.0042,4,0.0167,0,0,19,0.0792,14,0.0583,240
BM_BIG4,ACSA,B,M,BIG4,,green,B,197,0.788,0,0,3,0.012,0,0,23,0.092,27,0.108,250
BM_BIG6,ACSA,B,M,BIG6,,green,B,253,0.8268,2,0.0065,6,0.0196,1,0.0033,23,0.0752,21,0.0686,306
BM_8,ACSA,B,M,8,,green,B,107,0.7431,1,0.0069,5,0.0347,0,0,18,0.125,13,0.0903,144
BM_5,ACSA,B,M,5,,green,B,188,0.755,1,0.004,5,0.0201,0,0,18,0.0723,37,0.1486,249
BM_B31,ACSA,B,M,B31,,green,B,210,0.6667,14,0.0444,14,0.0444,13,0.0413,58,0.1841,6,0.019,315
BM_C32,ACSA,B,M,C32,,green,B,161,0.5812,16,0.0578,17,0.0614,11,0.0397,66,0.2383,6,0.0217,277
BL_17,ACSA,B,L,17,,green,B,166,0.7313,3,0.0132,7,0.0308,2,0.0088,32,0.191,17,0.0749,227
BL_2,ACSA,B,L,2,,green,B,179,0.7817,1,0.0044,7,0.0306,0,0,20,0.1873,22,0.0961,229
BL_BIG4,ACSA,B,L,BIG4,,green,B,189,0.7326,1,0.0039,6,0.0233,0,0,19,0.1736,43,0.1667,258
BL_BIG1,ACSA,B,L,BIG1,,green,B,166,0.7281,3,0.0132,5,0.0219,1,0.0044,30,0.1316,23,0.1009,228
BL_BIG5,ACSA,B,L,BIG5,,green,B,218,0.8134,5,0.0187,6,0.0224,2,0.0075,19,0.1709,18,0.0672,268
BL_BIG6,ACSA,B,L,BIG6,,green,B,168,0.7778,2,0.0093,7,0.0324,0,0,24,0.1511,15,0.0694,216
BL_BIG3,ACSA,B,L,BIG3,,green,B,178,0.7448,2,0.0084,4,0.0167,0,0,28,0.1572,27,0.113,239
BL_BIG2,ACSA,B,L,BIG2,,green,B,175,0.7642,2,0.0087,6,0.0262,1,0.0044,21,0.1917,24,0.1048,229
JAY_ACSA_800C,ACSA,JAY,800,800C,,nat,8,151,0.6138,10,0.0407,17,0.0691,3,0.0122,58,0.2358,7,0.0285,246
JAY_ACSA_800G,ACSA,JAY,800,800G,,nat,8,144,0.5035,15,0.0524,18,0.0629,5,0.0175,91,0.3182,13,0.0455,286
MAD_ACSA_600C,ACSA,MAD,600,600C,,nat,6,34,0.5152,3,0.0455,3,0.0455,3,0.0455,20,0.303,3,0.0455,66
MAN_ACSA_600G,ACSA,MAN,600,600G,,nat,6,62,0.4559,8,0.0588,10,0.0735,2,0.0147,49,0.3603,5,0.0368,136
MAD_ACSA_700G,ACSA,MAD,700,700G,,nat,7,64,0.4156,7,0.0455,16,0.1039,0,0,53,0.3442,14,0.0909,154
MAN_ACSA_500G,ACSA,MAN,500,500G,,nat,5,131,0.6453,7,0.0345,11,0.0542,3,0.0148,42,0.2069,9,0.0443,203
MAN_ACSA_700C,ACSA,MAN,700,700C,,nat,7,45,0.5488,4,0.0488,8,0.0976,0,0,21,0.2561,4,0.0488,82
WHF_ACSA_600G,ACSA,WHF,600,600G,,nat,6,75,0.5725,7,0.0534,12,0.0916,3,0.0229,29,0.2214,5,0.0382,131
