sample_id,spp,mountain,site,treatment,experiment,source,none_live,em_tip_live,none_dead,em_tip_dead,em_colonization,vitality_index
JAY_PIRU_H,PIRU,JAY,1000,PIRUH,nat,NA,76,65,4,2,45.58,95.92
JAY_ABBA_H,ABBA,JAY,1000,ABBAH,nat,NA,135,75,2,3,36.28,97.67
JAY_ABBA_M,ABBA,JAY,800,ABBAM,nat,NA,32,66,4,4,66.04,92.45
JAY_PIRU_M,PIRU,JAY,800,PIRUM,nat,NA,60,66,1,4,53.44,96.18
JAY_PIRU_L,PIRU,JAY,600,PIRUL,nat,NA,84,79,1,2,48.8,98.19
JAY_ABBA_L,ABBA,JAY,600,ABBAL,nat,NA,66,38,2,0,35.85,98.11
MAN_PIRU_H,PIRU,MAN,1000,PIRUH,nat,NA,77,75,3,5,50,95
MAN_ABBA_H,ABBA,MAN,1000,ABBAH,nat,NA,62,70,1,2,53.33,97.78
MAN_PIRU_M,PIRU,MAN,800,PIRUM,nat,NA,93,121,6,7,56.39,94.27
MAN_ABBA_M,ABBA,MAN,800,ABBAM,nat,NA,141,84,3,3,37.66,97.4
MAN_PIRU_L1,PIRU,MAN,600,PIRUL1,nat,NA,136,131,2,3,49.26,98.16
MAN_PIRU_L2,PIRU,MAN,600,PIRUL2,nat,NA,80,63,2,2,44.22,97.28
ABE_PIRU_H,PIRU,ABE,1000,PIRUH,nat,NA,153,87,8,10,37.6,93.02
ABE_ABBA_H,ABBA,ABE,1000,ABBAH,nat,NA,103,42,4,3,29.61,95.39
ABE_PIRU_M,PIRU,ABE,800,PIRUM,nat,NA,127,96,5,3,42.86,96.54
ABE_ABBA_M,ABBA,ABE,800,ABBAM,nat,NA,81,67,4,5,45.86,94.27
ABE_PIRU_L1,PIRU,ABE,600,PIRUL1,nat,NA,102,75,5,4,42.47,95.16
ABE_PIRU_L2,PIRU,ABE,600,PIRUL2,nat,NA,87,87,3,5,50.55,95.6
KIL_PIRU_M,PIRU,KIL,1000,PIRUM,nat,NA,139,111,6,8,45.08,94.7
KIL_ABBA_M,ABBA,KIL,1000,ABBAM,nat,NA,82,59,3,3,42.18,95.92
KIL_PIRU_L,PIRU,KIL,800,PIRUL,nat,NA,96,67,3,4,41.76,95.88
KIL_ABBA_L,ABBA,KIL,800,ABBAL,nat,NA,70,66,4,4,48.61,94.44
KIL_PIRU_H,PIRU,KIL,600,PIRUH,nat,NA,98,84,2,3,46.52,97.33
KIL_ABBA_H,ABBA,KIL,600,ABBAH,nat,NA,68,48,3,2,41.32,95.87
