spp,treatment,treat,source,block,end_biomass,final_height,survived
FAGR,B-L,B,L,1,0.331,10,1
FAGR,PC-M,PC,M,1,0.476,9,1
FAGR,PC-L,PC,L,1,0.469,9,1
FAGR,B-M,B,M,1,0.325,8,1
FAGR,B-H,B,H,2,0.324,7.5,1
FAGR,B-H,B,H,1,0.2,7.5,1
FAGR,PC-H,PC,H,3,0.311,7,1
FAGR,B-H,B,H,2,0.282,7,1
FAGR,B-L,B,L,2,0.352,6,1
FAGR,B-L,B,L,2,0.187,6,1
FAGR,B-M,B,M,1,0.095,6,1
FAGR,PC-H,PC,H,3,0.293,5.5,1
FAGR,B-L,B,L,1,0.106,5.5,1
FAGR,B-H,B,H,1,0.081,5.5,1
FAGR,B-L,B,L,2,0.08,5.5,1
FAGR,B-L,B,L,2,0.079,5.5,1
FAGR,B-M,B,M,2,0.066,5.5,1
FAGR,PC-M,PC,M,1,0.307,5,1
FAGR,B-L,B,L,2,0.192,5,1
FAGR,B-M,B,M,1,0.171,5,1
FAGR,B-L,B,L,1,0.087,5,1
FAGR,PC-H,PC,H,3,0.066,5,1
FAGR,PC-H,PC,H,3,0.058,5,1
FAGR,B-M,B,M,2,0.057,5,1
FAGR,B-L,B,L,2,0.048,5,1
FAGR,PC-L,PC,L,2,0.416,4.5,1
FAGR,B-L,B,L,2,0.364,4.5,1
FAGR,B-L,B,L,1,0.246,4.5,1
FAGR,B-L,B,L,3,0.218,4.5,1
FAGR,FC-M,FC,M,2,0.157,4.5,1
FAGR,FC-M,FC,M,3,0.142,4.5,1
FAGR,FC-H,FC,H,2,0.131,4.5,1
FAGR,FA-M,FA,M,3,0.078,4.5,1
FAGR,B-H,B,H,2,0.076,4.5,1
FAGR,FA-L,FA,L,3,0.074,4.5,1
FAGR,PC-H,PC,H,1,0.072,4.5,1
FAGR,B-L,B,L,1,0.07,4.5,1
FAGR,B-M,B,M,3,0.069,4.5,1
FAGR,FC-L,FC,L,2,0.068,4.5,1
FAGR,FA-H,FA,H,3,0.067,4.5,1
FAGR,PC-L,PC,L,3,0.062,4.5,1
FAGR,PC-M,PC,M,3,0.061,4.5,1
FAGR,FA-M,FA,M,2,0.06,4.5,1
FAGR,FA-M,FA,M,1,0.058,4.5,1
FAGR,PC-L,PC,L,1,0.056,4.5,1
FAGR,PC-L,PC,L,2,0.048,4.5,1
FAGR,PC-H,PC,H,1,0.048,4.5,1
FAGR,PC-H,PC,H,1,0.042,4.5,1
FAGR,B-H,B,H,1,0.3,4,1
FAGR,PC-M,PC,M,2,0.249,4,1
FAGR,PC-M,PC,M,3,0.196,4,1
FAGR,PC-H,PC,H,1,0.176,4,1
FAGR,PC-L,PC,L,3,0.168,4,1
FAGR,B-M,B,M,2,0.163,4,1
FAGR,FA-L,FA,L,1,0.152,4,1
FAGR,FC-M,FC,M,2,0.146,5,1
FAGR,PC-M,PC,M,1,0.083,4,1
FAGR,B-L,B,L,3,0.081,4,1
FAGR,FA-H,FA,H,3,0.077,4,1
FAGR,FA-L,FA,L,3,0.071,4,1
FAGR,FA-H,FA,H,2,0.066,4,1
FAGR,FC-L,FC,L,3,0.066,4,1
FAGR,PC-M,PC,M,2,0.066,4,1
FAGR,B-L,B,L,2,0.065,4,1
FAGR,FA-M,FA,M,3,0.065,4,1
FAGR,PC-M,PC,M,1,0.065,4,1
FAGR,B-L,B,L,3,0.064,4,1
FAGR,B-M,B,M,1,0.064,4,1
FAGR,B-M,B,M,3,0.064,4,1
FAGR,FA-M,FA,M,3,0.063,4,1
FAGR,FA-H,FA,H,3,0.061,4,1
FAGR,B-H,B,H,3,0.059,4,1
FAGR,FA-H,FA,H,2,0.059,4,1
FAGR,PC-M,PC,M,2,0.058,4,1
FAGR,FA-M,FA,M,2,0.056,4,1
FAGR,PC-H,PC,H,3,0.056,4,1
FAGR,B-M,B,M,2,0.055,4,1
FAGR,B-M,B,M,3,0.055,4,1
FAGR,B-L,B,L,1,0.054,4,1
FAGR,PC-M,PC,M,3,0.054,4,1
FAGR,PC-H,PC,H,3,0.054,4,1
FAGR,PC-H,PC,H,2,0.054,4,1
FAGR,FA-H,FA,H,3,0.053,4,1
