mountain,site,spp,point,avg_light,soil_pH,som,soil_P,soil_K,soil_Ca,soil_Mg,soil_Zn,soil_B,soil_Mn,soil_Cu,soil_Fe,soil_Al,soil_Na,soil_S,Ex_acid,CEC,PRISM_vpdmin,PRISM_vpdmax,PRISM_tmin,PRISM_tmax,PRISM_tmean,PRISM_ppt,amf_col,emf_col
ABE,H,ACSA,1,19.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,0.142,NA
ABE,H,ACSA,2,19.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,0.1722,NA
ABE,H,ACSA,3,17.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,0.0547,NA
ABE,H,ACSA,4,14.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,NA,NA
ABE,H,ACSA,5,13.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,0.1676,NA
ABE,H,ACSA,6,19.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,0.1234,NA
ABE,H,ACSA,7,17.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,0.0802,NA
ABE,H,ACSA,8,14.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,NA,NA
ABE,H,ACSA,9,13.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,0.1299,NA
ABE,H,ACSA,10,19.5,3.716666667,55.68333333,2.85,65.66666667,211,33.33333333,3.95,0.166666667,15.93333333,0.65,28.53333333,161.3333333,9.333333333,32.66666667,20.57666667,1.503333333,0.650438564,5.758484295,-1.717798557,8.718383108,3.502621446,1496.848581,0.1211,NA
